company_id,type,rule_id,text,confidence_pct
ABB,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,94.4
ABB,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,88.5
ABB,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",78.2
ABB,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,65.0
ABB,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,75.6
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
ADANIENSOL,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,71.9
ADANIENSOL,con,C9,"Earnings per share have declined for three consecutive years, indicating weakening profitability.",88.0
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80.8
ADANIENT,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
ADANIENT,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
ADANIENT,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,89.4
ADANIENT,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",72.7
ADANIGREEN,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
ADANIGREEN,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,71.9
ADANIGREEN,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
ADANIGREEN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,100.0
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
ADANIPORTS,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
ADANIPORTS,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,85.3
ADANIPORTS,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,70.1
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
ADANIPOWER,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
ADANIPOWER,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,70.3
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,91.0
AMBUJACEM,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
AMBUJACEM,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",70.7
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,87.3
APOLLOHOSP,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
APOLLOHOSP,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,63.5
APOLLOHOSP,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,61.7
ASIANPAINT,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,79.2
ASIANPAINT,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",73.6
ASIANPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,81.8
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
ATGL,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
ATGL,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",74.9
ATGL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,73.5
ATGL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,84.0
ATGL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,62.7
AXISBANK,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
AXISBANK,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,87.7
AXISBANK,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,72.3
AXISBANK,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
AXISBANK,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,93.8
AXISBANK,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",71.8
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,89.3
BAJAJ-AUTO,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,69.8
BAJAJ-AUTO,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",70.9
BAJAJ-AUTO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,98.7
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
BAJAJFINSV,con,C1,High leverage relative to equity can restrict future capital flexibility.,96.6
BAJAJFINSV,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,74.5
BAJAJFINSV,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,83.7
BAJAJFINSV,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88.2
BAJAJHLDNG,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,89.6
BAJAJHLDNG,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,61.7
BAJAJHLDNG,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
BAJAJHLDNG,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
BAJFINANCE,con,C1,High leverage relative to equity can restrict future capital flexibility.,87.4
BAJFINANCE,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,81.6
BAJFINANCE,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
BAJFINANCE,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",76.7
BAJFINANCE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,88.9
BAJFINANCE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,81.5
BAJFINANCE,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,89.7
BAJFINANCE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
BANKBARODA,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
BANKBARODA,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,88.2
BANKBARODA,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,70.5
BANKBARODA,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
BANKBARODA,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,80.1
BANKBARODA,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",71.9
BANKBARODA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,89.9
BEL,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
BEL,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,100.0
BEL,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",73.1
BEL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,76.7
BEL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
BHARTIARTL,con,C1,High leverage relative to equity can restrict future capital flexibility.,75.9
BHARTIARTL,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",76.6
BHARTIARTL,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
BHARTIARTL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
BHEL,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,87.4
BHEL,con,C3,Weak operating margins suggest limited pricing power and lower cash generation.,81.9
BHEL,con,C4,Low revenue growth may indicate a lack of business momentum.,98.9
BHEL,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
BHEL,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
BHEL,pro,P_FALLBACK,The company continues to operate with stable financial performance and remains suitable for ongoing monitoring.,65.0
BOSCHLTD,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
BOSCHLTD,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",72.7
BOSCHLTD,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,67.6
BOSCHLTD,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
BPCL,con,C3,Weak operating margins suggest limited pricing power and lower cash generation.,78.1
BPCL,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",91.3
BPCL,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
BPCL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,84.2
BRITANNIA,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
BRITANNIA,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",81.6
BRITANNIA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,78.2
BRITANNIA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80.7
BRITANNIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,94.8
CANBK,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
CANBK,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,86.9
CANBK,con,C2,Low interest coverage indicates potential difficulty servicing debt if earnings fall.,74.2
CANBK,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,81.9
CANBK,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",74.8
CANBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,93.3
CHOLAFIN,con,C1,High leverage relative to equity can restrict future capital flexibility.,100.0
CHOLAFIN,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,85.6
CHOLAFIN,con,C5,Two consecutive years of negative free cash flow point to weak cash generation.,80.0
CHOLAFIN,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
CHOLAFIN,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",74.4
CHOLAFIN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,70.1
CHOLAFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,79.4
CHOLAFIN,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,82.7
CHOLAFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,92.2
CIPLA,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
CIPLA,pro,P10,Return on equity improving for three consecutive years reflects strengthening business quality and capital efficiency.,86.0
CIPLA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,69.0
CIPLA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
CIPLA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88.9
COALINDIA,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
COALINDIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
COALINDIA,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",70.3
COALINDIA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100.0
COALINDIA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
COALINDIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,63.0
DABUR,con,C8,"Debt-to-equity ratio has increased continuously for three years, indicating rising financial leverage.",85.0
DABUR,pro,P11,"Profits are compounding faster than revenue, indicating improving operating leverage and scalability.",71.5
DABUR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,66.1
DABUR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,77.9
DIVISLAB,con,C_FALLBACK,"No major financial weakness was identified by the rule engine, although ongoing monitoring remains important.",65.0
DIVISLAB,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80.6
DIVISLAB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100.0
DLF,con,C10,Return on capital employed below 10% indicates weak capital efficiency.,83.1
