company_id,year,free_cash_flow_cr,cash_from_operations_cr,cfo_pat_ratio,fcf_positive_flag,cash_quality_score,cash_quality_label,cash_conversion_label,cashflow_trend,cashflow_insight
ABB,Dec 2012,42.0,101.0,0.696551724137931,1,71.68,Moderate,Weak,Stable,Cash generation is stable with acceptable cash conversion.
ABB,Mar 2014,11.0,155.0,0.7828282828282829,1,74.78,Moderate,Weak,Declining,Cash flow profile remains stable.
ABB,Mar 2015,28.0,215.0,0.9388646288209607,1,80.61,Strong,Good,Improving,Cash flow profile remains stable.
ABB,Mar 2016,172.0,249.0,0.9764705882352941,1,82.0,Strong,Good,Improving,Cash flow profile remains stable.
ABB,Mar 2017,152.0,307.0,1.108303249097473,1,87.3,Strong,Good,Declining,Cash flow profile remains stable.
ABB,Mar 2018,-62.0,153.0,0.38154613466334164,0,29.13,Weak,Weak,Declining,Cash generation is deteriorating and requires attention.
ABB,Mar 2019,242.0,499.0,1.1088888888888888,1,88.03,Strong,Good,Improving,Cash flow profile remains stable.
ABB,Mar 2020,225.0,626.0,1.0556492411467115,1,85.14,Strong,Good,Declining,Cash flow profile remains stable.
ABB,Mar 2021,655.0,727.0,1.0520984081041969,1,85.2,Strong,Good,Improving,Cash flow profile remains stable.
ABB,Mar 2022,552.0,948.0,1.1864831038798498,1,90.09,Strong,Good,Declining,Cash flow profile remains stable.
ABB,Mar 2023,745.0,893.0,0.9409905163329821,1,81.73,Strong,Good,Improving,Cash flow profile remains stable.
ABB,Mar 2024,797.0,1213.0,1.009991673605329,1,85.05,Strong,Good,Improving,Cash flow profile remains stable.
ABB,TTM,797.0,1213.0,0.9439688715953307,1,82.93,Strong,Good,Stable,Cash flow remains consistently strong with stable operating performance.
ADANIENSOL,Mar 2014,0.0,0.0,,0,12.51,Weak,Unknown,Stable,Weak cash generation with below-average cash conversion.
ADANIENSOL,Mar 2015,-1899.0,-35.0,5.0,0,77.18,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENSOL,Mar 2016,728.0,1544.0,4.195652173913044,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENSOL,Mar 2017,459.0,2189.0,5.262019230769231,1,100.0,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENSOL,Mar 2018,-994.0,2198.0,1.9230096237970253,0,85.39,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENSOL,Mar 2019,-459.0,2591.0,4.635062611806798,0,81.13,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENSOL,Mar 2020,-206.0,5437.0,7.701133144475921,0,82.74,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENSOL,Mar 2021,-225.0,3784.0,2.933333333333333,0,82.65,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENSOL,Mar 2022,161.0,4097.0,3.3147249190938513,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENSOL,Mar 2023,-922.0,3777.0,2.9484777517564402,0,80.86,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENSOL,Mar 2024,1095.0,6038.0,5.048494983277592,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENSOL,TTM,1095.0,6038.0,10.251273344651953,1,100.0,Strong,Excellent,Stable,Cash flow remains consistently strong with stable operating performance.
ADANIENT,Mar 2013,-7124.0,7666.0,6.293924466338259,0,76.56,Strong,Excellent,Stable,Cash flow remains consistently strong with stable operating performance.
ADANIENT,Mar 2014,221.0,8228.0,3.109599395313681,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENT,Mar 2015,-2933.0,8532.0,3.7127937336814623,0,78.19,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENT,Mar 2016,3287.0,5112.0,5.112,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENT,Mar 2017,-686.0,774.0,0.8367567567567568,0,37.06,Weak,Good,Declining,Cash generation is deteriorating and requires attention.
ADANIENT,Mar 2018,-4707.0,2942.0,4.952861952861953,0,78.24,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENT,Mar 2019,5723.0,3236.0,6.395256916996048,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENT,Mar 2020,1372.0,2454.0,2.3596153846153847,1,100.0,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENT,Mar 2021,-4568.0,4043.0,3.8652007648183555,0,78.8,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENT,Mar 2022,-15656.0,1385.0,1.7576142131979695,0,67.35,Moderate,Excellent,Declining,Cash flow profile remains stable.
ADANIENT,Mar 2023,2167.0,17626.0,7.277456647398844,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIENT,Mar 2024,-8455.0,10312.0,3.0920539730134933,0,76.68,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIENT,TTM,-8455.0,10312.0,1.694380545514295,0,65.59,Moderate,Excellent,Stable,Cash generation is stable with acceptable cash conversion.
ADANIGREEN,Mar 2017,-1483.0,28.0,-0.5957446808510638,0,6.48,Weak,Weak,Stable,Weak cash generation with below-average cash conversion.
ADANIGREEN,Mar 2018,-3779.0,649.0,-4.702898550724638,0,5.7,Weak,Weak,Declining,Cash generation is deteriorating and requires attention.
ADANIGREEN,Mar 2019,-1041.0,1625.0,-3.4210526315789473,0,7.15,Weak,Weak,Improving,Weak cash generation with below-average cash conversion.
ADANIGREEN,Mar 2020,-1778.0,1965.0,-28.897058823529413,0,6.12,Weak,Weak,Declining,Cash generation is deteriorating and requires attention.
ADANIGREEN,Mar 2021,-7536.0,1601.0,8.796703296703297,0,80.96,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIGREEN,Mar 2022,-15603.0,3127.0,6.394683026584867,0,84.37,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIGREEN,Mar 2023,3408.0,7265.0,7.466598150051388,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIGREEN,Mar 2024,-13347.0,7713.0,6.121428571428571,0,83.57,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIGREEN,TTM,-13347.0,7713.0,4.000518672199171,0,84.55,Strong,Excellent,Stable,Cash flow remains consistently strong with stable operating performance.
ADANIPORTS,Mar 2013,-3757.0,1379.0,0.8413666870042709,0,42.72,Weak,Good,Stable,Weak cash generation with below-average cash conversion.
ADANIPORTS,Mar 2014,-1378.0,1132.0,0.6502010338885698,0,37.29,Weak,Weak,Improving,Weak cash generation with below-average cash conversion.
ADANIPORTS,Mar 2015,572.0,3057.0,1.3154044750430292,1,93.64,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPORTS,Mar 2016,-1772.0,2381.0,0.8336834733893558,0,43.37,Weak,Good,Declining,Cash generation is deteriorating and requires attention.
ADANIPORTS,Mar 2017,1434.0,4063.0,1.0412608918503332,1,84.97,Strong,Good,Improving,Cash flow profile remains stable.
ADANIPORTS,Mar 2018,1762.0,5608.0,1.5197831978319782,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPORTS,Mar 2019,1661.0,6029.0,1.4904820766378244,1,100.0,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIPORTS,Mar 2020,6653.0,7402.0,1.9556142668428005,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPORTS,Mar 2021,-6508.0,7556.0,1.4965339671222024,0,66.26,Moderate,Excellent,Declining,Cash flow profile remains stable.
ADANIPORTS,Mar 2022,4927.0,10420.0,2.103775489602261,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPORTS,Mar 2023,-4816.0,11900.0,2.2073826748284175,0,85.11,Strong,Excellent,Declining,Cash flow profile remains stable.
ADANIPORTS,Mar 2024,8250.0,15018.0,1.8531589338598222,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPORTS,TTM,8250.0,15018.0,1.5414143487632146,1,100.0,Strong,Excellent,Stable,Cash flow remains consistently strong with stable operating performance.
ADANIPOWER,Mar 2013,-1063.0,3001.0,-1.3076252723311548,0,5.89,Weak,Weak,Stable,Weak cash generation with below-average cash conversion.
ADANIPOWER,Mar 2014,-1462.0,3238.0,-11.127147766323024,0,6.04,Weak,Weak,Declining,Cash generation is deteriorating and requires attention.
ADANIPOWER,Mar 2015,1087.0,5824.0,-7.137254901960785,1,38.36,Weak,Weak,Improving,Weak cash generation with below-average cash conversion.
ADANIPOWER,Mar 2016,2565.0,5257.0,9.540834845735027,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPOWER,Mar 2017,3513.0,4725.0,-0.7653061224489796,1,39.23,Weak,Weak,Improving,Weak cash generation with below-average cash conversion.
ADANIPOWER,Mar 2018,4581.0,5101.0,-2.425582501188778,1,39.25,Weak,Weak,Improving,Weak cash generation with below-average cash conversion.
ADANIPOWER,Mar 2019,4626.0,5610.0,-5.701219512195122,1,38.98,Weak,Weak,Improving,Weak cash generation with below-average cash conversion.
ADANIPOWER,Mar 2020,3294.0,5598.0,-2.4606593406593404,1,38.78,Weak,Weak,Declining,Cash generation is deteriorating and requires attention.
ADANIPOWER,Mar 2021,4826.0,7014.0,5.522834645669291,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPOWER,Mar 2022,11007.0,10233.0,2.0832654723127035,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
ADANIPOWER,Mar 2023,9976.0,8431.0,0.7859606600167801,1,80.05,Strong,Weak,Declining,Cash flow profile remains stable.
ADANIPOWER,Mar 2024,17651.0,14170.0,0.6803015027125642,1,81.13,Strong,Weak,Improving,Cash flow profile remains stable.
ADANIPOWER,TTM,17651.0,14170.0,1.1169793473119976,1,95.77,Strong,Good,Stable,Cash flow remains consistently strong with stable operating performance.
AMBUJACEM,Dec 2012,1472.0,1860.0,1.4396284829721362,1,98.44,Strong,Excellent,Stable,Cash flow remains consistently strong with stable operating performance.
AMBUJACEM,Dec 2013,771.0,1267.0,0.9913928012519562,1,81.78,Strong,Good,Declining,Cash flow profile remains stable.
AMBUJACEM,Dec 2014,1219.0,1675.0,1.1264290517821116,1,87.29,Strong,Good,Improving,Cash flow profile remains stable.
AMBUJACEM,Dec 2015,1474.0,1557.0,1.926980198019802,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
AMBUJACEM,Dec 2016,-1355.0,2810.0,1.9595536959553697,0,81.39,Strong,Excellent,Declining,Cash flow profile remains stable.
AMBUJACEM,Dec 2017,2678.0,3416.0,1.7562982005141388,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
AMBUJACEM,Dec 2018,938.0,1703.0,0.5728220652539522,1,66.23,Moderate,Weak,Declining,Cash flow profile remains stable.
AMBUJACEM,Dec 2019,3548.0,4739.0,1.7028386633129715,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
AMBUJACEM,Dec 2020,3515.0,4832.0,1.5551979401351785,1,100.0,Strong,Excellent,Declining,Cash flow profile remains stable.
AMBUJACEM,Dec 2021,3302.0,5309.0,1.4306116949609269,1,98.78,Strong,Excellent,Declining,Cash flow profile remains stable.
AMBUJACEM,Mar 2024,-3295.0,5646.0,1.1916420430561419,0,55.7,Moderate,Good,Declining,Cash flow profile remains stable.
AMBUJACEM,Mar 2023 15,,,,0,16.01,Weak,Unknown,Stable,Weak cash generation with below-average cash conversion.
AMBUJACEM,TTM,-3295.0,5646.0,1.458537845517954,0,63.97,Moderate,Excellent,Stable,Cash generation is stable with acceptable cash conversion.
APOLLOHOSP,Mar 2013,-290.0,443.0,1.462046204620462,0,60.3,Moderate,Excellent,Stable,Cash generation is stable with acceptable cash conversion.
APOLLOHOSP,Mar 2014,17.0,373.0,1.1841269841269841,1,81.97,Strong,Good,Improving,Cash flow profile remains stable.
APOLLOHOSP,Mar 2015,-289.0,470.0,1.4029850746268657,0,56.95,Moderate,Excellent,Declining,Cash flow profile remains stable.
APOLLOHOSP,Mar 2016,-291.0,597.0,2.5404255319148934,0,78.0,Strong,Excellent,Declining,Cash flow profile remains stable.
APOLLOHOSP,Mar 2017,-529.0,623.0,4.755725190839694,0,77.65,Strong,Excellent,Declining,Cash flow profile remains stable.
APOLLOHOSP,Mar 2018,132.0,537.0,8.95,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
APOLLOHOSP,Mar 2019,194.0,905.0,4.525,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
APOLLOHOSP,Mar 2020,1004.0,1293.0,2.9930555555555554,1,100.0,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
APOLLOHOSP,Mar 2021,385.0,1265.0,9.233576642335766,1,100.0,Strong,Excellent,Declining,Cash flow profile remains stable.
APOLLOHOSP,Mar 2022,949.0,1696.0,1.5306859205776173,1,98.47,Strong,Excellent,Improving,Strong cash generation with improving free cash flow and excellent cash conversion.
APOLLOHOSP,Mar 2023,520.0,1377.0,1.6315165876777251,1,99.33,Strong,Excellent,Declining,Cash flow profile remains stable.
APOLLOHOSP,Mar 2024,383.0,1920.0,2.053475935828877,1,100.0,Strong,Excellent,Declining,Cash flow profile remains stable.
APOLLOHOSP,TTM,383.0,1920.0,1.5686274509803921,1,96.6,Strong,Excellent,Stable,Cash flow remains consistently strong with stable operating performance.
ASIANPAINT,Mar 2013,724.0,1187.0,1.0232758620689655,1,87.62,Strong,Good,Stable,Cash flow remains consistently strong with stable operating performance.
